metric	label	group	father_son.n	father_son.slope	father_son.slope_se	father_son.r	father_son.r_lo	father_son.r_hi	father_daughter.n	father_daughter.slope	father_daughter.slope_se	father_daughter.r	father_daughter.r_lo	father_daughter.r_hi	mother_son.n	mother_son.slope	mother_son.slope_se	mother_son.r	mother_son.r_lo	mother_son.r_hi	mother_daughter.n	mother_daughter.slope	mother_daughter.slope_se	mother_daughter.r	mother_daughter.r_lo	mother_daughter.r_hi	father_contrast.diff	father_contrast.z	father_slope_contrast.diff	father_slope_contrast.se	father_slope_contrast.z	heterogeneity.q	heterogeneity.p	heterogeneity.p_normal	heterogeneity.n_trios	heterogeneity.n_perm
ACRO.mass_Mb	ACRO array	satellites	67	0.3415608773628559	0.07766584565812619	0.440918181179372	0.2244810518706638	0.6158986238907456	68	0.4288565690247946	0.08303876723328224	0.48688423490584376	0.2810854267000363	0.649871590635708	67	0.3993799057687779	0.1067744350756059	0.47732612620602044	0.2678216598756187	0.6437290928247784	68	0.4613071677271448	0.09374946397182944	0.5125300878079609	0.3122595902043974	0.6691836792978787	-0.04596605372647178	-0.33276444139265426	-0.08729569166193868	0.11369881461745811	-0.767780138743282	0.28469973347045985	0.964035964035964	0.9628798856946756	135	1000
SST1.mass_Mb	SST1 array	satellites	67	0.42093711453035393	0.11191930800972807	0.3826472245991062	0.1568516604146803	0.5704281656622021	68	0.4153963844101602	0.11706320688467249	0.45475685253057857	0.24263592078564325	0.6253780641629776	67	0.4656988310617628	0.13526592955476274	0.39823079857344135	0.17473291240828315	0.5827022703068633	68	0.37563019312627355	0.10213675623358069	0.40965044745911866	0.18975502340525732	0.5904125779672141	-0.07210962793147235	-0.4970247522289458	0.0055407301201937376	0.16195593817918508	0.03421134280401362	0.27592765407514636	0.975024975024975	0.9644903787830992	135	1000
CER.mass_Mb	CER array	satellites	67	0.5603629663958964	0.11676851451157264	0.48126031099467836	0.27255629435830564	0.6467102861088979	68	0.22773534912581617	0.11682992613172165	0.25507294373436734	0.017721399652720096	0.4652096552314575	67	0.6017962466689367	0.09122827295221167	0.5569765302503574	0.36569046336020095	0.7031172759359298	68	0.30684486069607797	0.10177102406490915	0.33321191827720953	0.10296274549265778	0.5295683484870042	0.22618736726031102	1.498004730713713	0.3326276172700803	0.16517904716150558	2.013739775026369	5.386264609539414	0.17482517482517482	0.14560173951923225	135	1000
SATR.mass_Mb	SATR array	satellites	67	0.5834985440954774	0.11645789503125503	0.5585255920212797	0.36763671977753115	0.7042524093473554	68	0.3934887132184937	0.13205986268663436	0.36800724761372927	0.14204116240814946	0.5575178647361746	67	0.32660626023120365	0.0968311213316155	0.3462231690753026	0.11562665650885953	0.541408567094055	68	0.5802282051832495	0.12760164724781778	0.5239128820024345	0.3262356961544009	0.6776879886695468	0.19051834440755044	1.3888573947194545	0.1900098308769837	0.17607455423178994	1.0791441824515366	3.5776228640399763	0.3626373626373626	0.3108333616443634	135	1000
TEL.mass_Mb	telomeric repeat	satellites	67	0.09709238269148218	0.1438310266932747	0.09653451957999165	-0.1470891714101136	0.3291155779307632	68	0.19212450000274583	0.12639472514408046	0.20982318844651524	-0.030112588054377616	0.4268957531206242	67	0.28292331144553695	0.14081539673538282	0.2585490237451804	0.019550370011605395	0.4695967370267049	68	0.1896084516631882	0.08223077267768857	0.2208041952373942	-0.01860456846216964	0.43626576847998516	-0.11328866886652358	-0.6595871570926716	-0.09503211731126365	0.19147582297483184	-0.49631392535523905	0.9978095454337035	0.8211788211788211	0.8017819825674756	135	1000
truth.auto	held-out autosomal (2)	truth	67	-0.2710415877562887	0.1075880379475659	-0.27927966750881206	-0.48683260317963284	-0.041876128613515244	68	0.1245088100560349	0.13185931282116733	0.104771112158191	-0.13708258382942856	0.33483604329729544	67	-0.13044411213239984	0.06624977751643543	-0.1744229360581014	-0.397961747483707	0.06866698128562418	68	0.11090581886969633	0.1708090888307523	0.09109929855260802	-0.1506011748056219	0.3225231601309184	-0.3840507796670031	-2.2263925431170413	-0.3955503978123236	0.1701824441212352	-2.324272634905513	7.414027521844953	0.057942057942057944	0.05980909121611701	135	1000
DJ.cn	distal junction (10)	truth	67	0.5724859218649755	0.18253022492979523	0.6218284979479763	0.4486276921627562	0.7500112748669978	68	0.11998952150805901	0.07908887144064927	0.13909497012293034	-0.10274169195237275	0.36540583911168384	67	0.08519793922946475	0.3607244774524027	0.05960641085322898	-0.18322998225802267	0.2955869939490809	68	0.28476803192667144	0.20945382082589908	0.40523400026187306	0.1846450370403874	0.586952183511548	0.48273352782504597	3.338974399939778	0.45249640035691646	0.19892795831324764	2.274674732469631	17.787978504148793	0.5064935064935064	0.000486428971670479	135	1000
chrM.copies	mitochondrial genomes per cell	culture	67	-0.12569674984780452	0.13535872791088027	-0.12811951967779955	-0.35733505609863225	0.11565266648089269	68	0.17410608312654252	0.0788919879467362	0.258765847934547	0.021673757535907865	0.4683021454372744	67	-0.09517493934974268	0.11707629751090007	-0.11104500721641418	-0.34213170062423554	0.13270776262762718	68	0.10545438106517964	0.10013292792368929	0.12225607833057289	-0.11966128413736114	0.3504693985858859	-0.38688536761234654	-2.2352235594262355	-0.29980283297434707	0.1566714108695	-1.9135771568692188	7.0229665755395665	0.13886113886113885	0.07116934108114481	135	1000
chrEBV.copies	EBV episomes per cell	culture	67	0.10411236975894926	0.06154221365213815	0.1712451795321461	-0.07192639879683577	0.3952013212301553	68	0.07221177558747431	0.14460025871312107	0.0794060678050163	-0.16209208243375736	0.31192969015794286	67	0.1774796035759471	0.12567109157630071	0.2404467575963053	0.00024823029595469017	0.45441342773722226	68	0.23283162530369653	0.33925756272717517	0.1557748329526177	-0.08584278233422665	0.3800872096146243	0.0918391117271298	0.5302554515969594	0.03190059417147495	0.1571517702130872	0.2029922674636111	0.8939442828226634	0.9440559440559441	0.8268889418454817	135	1000
depth	sequencing depth	culture	67	0.034448579816151174	0.040097129778274	0.07723227941370138	-0.16606138719518723	0.31166311174356837	68	-0.01753349703607508	0.03598042066466546	-0.05540009716550138	-0.2899988050743517	0.1854792028940094	67	0.016078144564324923	0.057129417181866704	0.03166987612396426	-0.21014164356758783	0.26983000589194667	68	0.043269994488927294	0.021596339065664258	0.17051908641945976	-0.070788237075303	0.39297144961678243	0.13263237657920277	0.754382084837206	0.05198207685222625	0.05387365300090605	0.9648886599791556	1.7522166348930241	0.5524475524475524	0.6253879110655169	135	1000
