sample	fetch_over_scan.rDNA45S	fetch_over_scan.rDNA5S	fetch_over_scan.DJ	capture.rDNA45S	capture.rDNA5S	capture.DJ
HG00174	0.9996290644650421	0.9997762605682983	0.9973926995587645	0.999282	0.999742	0.99727
HG00176	0.9994007435990296	0.9998103695481245	0.997940903943169	0.999352	0.999738	0.99782
HG00177	0.9998475047972449	0.9999524239973359	0.9977887754027589	0.999739	0.999952	0.997691
HG00178	0.999718986063614	0.9999529276393212	0.9976220016542595	0.999688	0.999922	0.997685
HG00179	0.9995378396648533	0.999987727350826	0.9975572519083971	0.999596	0.999987	0.997353
HG00180	0.9996385111983908	0.9999444169102287	0.9976902887139107	0.999629	0.999935	0.997556
HG00181	0.9996507628806496	0.9999801752507832	0.9981044650379106	0.999695	0.999981	0.997927
HG00182	0.9997837625813719	0.9999681695924116	0.9974406224406224	0.999704	0.999847	0.997499
HG00183	0.9996791053971905	0.9999098480940385	0.9979879275653925	0.999617	0.999883	0.997931
HG00185	0.9994806369059953	0.999891757905732	0.9981159723675946	0.999484	0.99988	0.997836
HG00186	0.9996574738175061	0.9999418872127654	0.9977263331955353	0.999634	0.999926	0.997512
HG00187	0.9997086614937897	0.9999861527809831	0.9975827640567525	0.99956	0.999986	0.997506
HG00188	0.9996483446676008	0.9999274261440058	0.9977192618702052	0.999459	0.999912	0.997711
HG00189	0.9997082997939636	0.9999115904871364	0.9979575163398693	0.999639	0.999899	0.997899
HG00190	0.9995705103521814	0.9999665252758078	0.9976202280614773	0.999524	0.999925	0.99759
HG00231	0.9995736607618683	0.9999652647118419	0.9979674796747968	0.99957	0.999948	0.997921
HG00232	0.9995126520588868	0.9998727059639451	0.9979670861568247	0.999458	0.999867	0.998035
HG00233	0.9996700598496087	0.9999906003553065	0.9975761407946041	0.999583	0.999965	0.997486
HG00234	0.9995449496476893	0.9998994665022385	0.9972634459530576	0.999534	0.999815	0.997316
HG00235	0.9997522665339361	0.9999522196938478	0.9975572519083971	0.999636	0.999897	0.99771
HG00236	0.9996929576122691	0.9999264976111722	0.9973270608360953	0.999587	0.99993	0.9972
HG00237	0.9995220006814033	0.9999213945531048	0.9977688057798554	0.999546	0.999896	0.997733
HG00238	0.9996338372430322	0.9999639958440917	0.9974387870095278	0.999575	0.999946	0.997448
HG00239	0.9995110253260806	0.9998864326520939	0.9974967457695003	0.99961	0.99986	0.997157
HG00240	0.9997790488816253	1.0	0.9978947368421054	0.999663	1.0	0.997969
HG00242	0.9997882620594893	0.9999027710257656	0.9972006220839814	0.999629	0.999904	0.997152
HG00243	0.9995537578288101	0.999732804030842	0.9980661577608142	0.999367	0.999726	0.99804
HG00244	0.9997321178838889	0.9998848331292657	0.9977701196026758	0.999609	0.999885	0.997725
HG00245	0.9997282850213943	0.999913155997881	0.9973333333333334	0.999679	0.999892	0.997298
HG00246	0.9996954557974244	0.9999019324750609	0.9973694860380413	0.999551	0.999887	0.997313
HG00250	0.9997093584624478	0.9999863364334447	0.9977157096874675	0.999643	0.999972	0.997907
HG00251	0.9995831998065419	0.9998993102753864	0.9975923793572699	0.999487	0.999833	0.997536
HG00252	0.9995876961844107	0.9998769368032028	0.9977319587628868	0.999615	0.999879	0.997737
HG00253	0.9997727618651535	0.9999050750338709	0.997917751171265	0.999642	0.999851	0.997646
HG00254	0.9995151335500058	0.999896470804767	0.9978889592569137	0.999537	0.999884	0.997704
HG00255	0.9997215808079777	0.9999264516603539	0.9977130356965298	0.999566	0.999908	0.997781
HG00256	0.9995932132744728	0.9998941804835396	0.9981191222570532	0.999601	0.999885	0.998138
HG00257	0.9995893010941338	0.999665719538693	0.9976480212700686	0.999416	0.999652	0.997521
HG00258	0.999753731784361	0.9999420311240165	0.9974152191894127	0.999551	0.999885	0.997339
HG00259	0.9997481244639838	0.9999676314298815	0.9978430566967953	0.99956	0.99992	0.997664
HG00260	0.9994492228761129	0.9997432375181339	0.9976744186046512	0.999353	0.999607	0.997608
HG00261	0.9997213051895218	0.9999598117403303	0.9978065594317945	0.999645	0.999933	0.997868
HG00262	0.9997811215774474	0.9999728755939115	0.9979186179623271	0.999702	0.99996	0.997971
HG00263	0.9996987980885265	0.9998988901709351	0.9978426135196219	0.999622	0.999906	0.997965
HG00264	0.999554190064368	0.9997875074625355	0.9978381717109326	0.999314	0.999746	0.997781
HG00265	0.9996460722707395	0.9998311981914092	0.9976715934399676	0.999392	0.999786	0.997456
HG00266	0.9997170594592589	0.9999185409784134	0.9980261790982755	0.9996	0.999895	0.997969
HG00267	0.9996675188036588	0.9999459316576154	0.9980359727103576	0.999596	0.999903	0.997865
HG00268	0.9997160423714166	0.9999424504594371	0.9980251533104667	0.99965	0.999945	0.997734
