sample	cls	assembly_Mb	assembly_gapped_Mb	ngsdose_Mb
HG00544	SST1	1.505	0.0	0.5084
HG00544	CER	1.75	0.0	0.7605
HG00544	SATR	2.747	0.0	0.2454
HG00558	HSat1A	21.391	0.0	18.1562
HG00558	HSat1B	1.467	0.0	1.1139
HG00558	HSat2	16.768	27.013	67.4838
HG00558	HSat3	57.696	0.0	52.2319
HG00558	bSat	15.036	0.0	10.6853
HG00558	aSatHOR	150.806	0.0	140.6635
HG00558	ACRO	3.944	0.0	3.0559
HG00558	SST1	2.246	0.0	0.5628
HG00558	CER	1.866	0.0	0.7835
HG00558	SATR	2.747	0.0	0.239
HG00597	HSat1A	18.83	0.0	15.9219
HG00597	HSat1B	1.985	0.0	1.5638
HG00597	HSat2	42.778	4.186	51.0224
HG00597	HSat3	57.677	0.097	50.8759
HG00597	bSat	13.639	0.0	9.9011
HG00597	aSatHOR	157.88	0.0	148.1101
HG00597	ACRO	3.807	0.0	2.9953
HG00597	SST1	2.281	0.0	0.5385
HG00597	CER	1.847	0.0	0.7774
HG00597	SATR	2.725	0.0	0.2352
HG00609	HSat1A	18.236	0.0	14.8069
HG00609	HSat1B	19.333	0.0	18.3496
HG00609	HSat2	41.466	4.516	45.5413
HG00609	HSat3	81.684	0.0	75.9882
HG00609	bSat	13.996	0.0	9.891
HG00609	aSatHOR	148.147	0.0	147.7835
HG00609	ACRO	3.542	0.0	2.8324
HG00609	SST1	2.152	0.0	0.6363
HG00609	CER	1.646	0.0	0.691
HG00609	SATR	2.714	0.0	0.2565
HG00621	HSat1A	15.229	0.0	13.8729
HG00621	HSat1B	10.388	0.0	9.204
HG00621	HSat2	40.26	0.0	40.2579
HG00621	HSat3	79.468	0.0	74.6568
HG00621	bSat	11.957	0.0	7.5187
HG00621	aSatHOR	147.445	0.0	147.628
HG00621	ACRO	3.978	0.0	3.0727
HG00621	SST1	2.799	0.0	0.7247
HG00621	CER	1.675	0.0	0.7021
HG00621	SATR	2.739	0.0	0.2228
HG00639	HSat1A	22.054	0.0	18.8206
HG00639	HSat1B	1.482	0.0	1.1975
HG00639	HSat2	42.33	0.0	41.8729
HG00639	HSat3	68.785	0.0	62.8671
HG00639	bSat	15.1	0.0	11.7005
HG00639	aSatHOR	137.085	0.0	140.7519
HG00639	ACRO	4.368	0.0	3.4575
HG00639	SST1	2.309	0.0	0.7045
HG00639	CER	1.878	0.0	0.7971
HG00639	SATR	2.758	0.0	0.2649
HG00642	HSat1A	15.559	0.0	12.678
HG00642	HSat1B	5.428	0.0	4.7745
HG00642	HSat2	30.776	0.0	54.7705
HG00642	HSat3	62.207	0.001	59.0161
HG00642	bSat	18.351	0.0	14.0671
HG00642	aSatHOR	146.075	0.0	148.2953
HG00642	ACRO	4.069	0.0	3.3135
HG00642	SST1	2.97	0.0	0.7604
HG00642	CER	1.674	0.0	0.7439
HG00642	SATR	2.711	0.0	0.235
HG00658	HSat1A	23.101	0.0	22.43
HG00658	HSat1B	15.776	0.0	15.6612
HG00658	HSat2	25.042	5.809	38.9424
HG00658	HSat3	72.863	0.0	72.2929
HG00658	bSat	14.938	0.0	10.2131
HG00658	aSatHOR	139.877	0.0	142.0143
HG00658	ACRO	3.449	0.0	2.8879
HG00658	SST1	2.527	0.0	0.5444
HG00658	CER	1.814	0.0	0.7782
HG00658	SATR	2.742	0.0	0.2301
HG00673	HSat1A	16.552	0.0	14.1689
HG00673	HSat1B	16.869	0.0	15.9801
HG00673	HSat2	40.437	1.282	42.4759
HG00673	HSat3	79.263	0.0	77.1749
HG00673	bSat	11.496	0.0	8.034
HG00673	aSatHOR	147.386	0.0	149.8231
HG00673	ACRO	3.48	0.0	3.0439
HG00673	SST1	2.866	0.0	0.7235
HG00673	CER	1.62	0.0	0.7305
HG00673	SATR	2.794	0.0	0.2512
HG00706	HSat1A	17.183	0.0	12.8705
HG00706	HSat1B	15.981	0.0	14.6536
HG00706	HSat2	45.229	0.0	42.9365
HG00706	HSat3	69.126	4.182	66.4773
HG00706	bSat	14.993	0.0	10.9016
HG00706	aSatHOR	150.34	0.0	145.2536
HG00706	ACRO	3.402	0.0	2.8627
HG00706	SST1	2.83	0.0	0.6677
HG00706	CER	1.924	0.0	0.814
HG00706	SATR	2.759	0.0	0.2558
HG00735	HSat1A	22.214	0.0	23.6159
HG00735	HSat1B	1.972	0.0	1.6815
HG00735	HSat2	36.686	0.0	41.2188
HG00735	HSat3	50.079	12.035	52.7903
HG00735	bSat	14.332	0.0	10.3994
HG00735	aSatHOR	145.12	0.0	147.0414
HG00735	ACRO	2.717	0.0	2.0892
HG00735	SST1	2.066	0.0	0.4332
HG00735	CER	2.119	0.0	0.8637
HG00735	SATR	2.732	0.0	0.237
HG00738	HSat1A	28.481	0.0	23.9705
HG00738	HSat1B	12.15	0.0	10.6966
HG00738	HSat2	31.911	0.0	41.58
HG00738	HSat3	73.775	0.016	64.1067
HG00738	bSat	12.778	0.0	8.6626
HG00738	aSatHOR	132.846	0.0	126.384
HG00738	ACRO	3.397	0.0	2.5618
HG00738	SST1	2.788	0.0	0.8087
HG00738	CER	1.836	0.0	0.7957
HG00738	SATR	2.748	0.0	0.2411
HG00741	HSat1A	18.139	0.0	14.781
HG00741	HSat1B	1.318	0.0	1.0107
