child	father	mother	population	rDNA45S.cn.child	rDNA45S.cn.father	rDNA45S.cn.mother	rDNA45S.cn_single.child	rDNA45S.cn_single.father	rDNA45S.cn_single.mother	rDNA45S.18S.flat.child	rDNA45S.18S.flat.father	rDNA45S.18S.flat.mother	rDNA5S.cn.child	rDNA5S.cn.father	rDNA5S.cn.mother	HSat1A.mass_Mb.child	HSat1A.mass_Mb.father	HSat1A.mass_Mb.mother	HSat1B.mass_Mb.child	HSat1B.mass_Mb.father	HSat1B.mass_Mb.mother	HSat2.mass_Mb.child	HSat2.mass_Mb.father	HSat2.mass_Mb.mother	HSat3.mass_Mb.child	HSat3.mass_Mb.father	HSat3.mass_Mb.mother	bSat.mass_Mb.child	bSat.mass_Mb.father	bSat.mass_Mb.mother	aSatHOR.mass_Mb.child	aSatHOR.mass_Mb.father	aSatHOR.mass_Mb.mother	ACRO.mass_Mb.child	ACRO.mass_Mb.father	ACRO.mass_Mb.mother	SST1.mass_Mb.child	SST1.mass_Mb.father	SST1.mass_Mb.mother	CER.mass_Mb.child	CER.mass_Mb.father	CER.mass_Mb.mother	SATR.mass_Mb.child	SATR.mass_Mb.father	SATR.mass_Mb.mother	TEL.mass_Mb.child	TEL.mass_Mb.father	TEL.mass_Mb.mother	truth.auto.child	truth.auto.father	truth.auto.mother	DJ.cn.child	DJ.cn.father	DJ.cn.mother	chrM.copies.child	chrM.copies.father	chrM.copies.mother	chrEBV.copies.child	chrEBV.copies.father	chrEBV.copies.mother	depth.child	depth.father	depth.mother	ctrl_dup_frac.child	ctrl_dup_frac.father	ctrl_dup_frac.mother	gc_rel_65.child	gc_rel_65.father	gc_rel_65.mother	insert_median.child	insert_median.father	insert_median.mother
HG00691	HG00689	HG00690	CHS	478.9	354.4	553.8	474.851	346.446	553.04	562.09	398.57	628.47	153.46	113.05	168.81	14.9535	14.954	15.4247	14.8118	14.9306	1.1897	27.6454	41.5944	46.7091	71.7036	63.1751	54.2611	10.7806	10.2581	11.8878	135.4105	141.4163	143.4867	2.8607	2.6211	3.3605	0.5303	0.339	0.7482	0.8407	0.8876	0.777	0.233	0.2325	0.2375	0.4658	0.42	0.315	1.9939	1.9995	1.9898	9.95	9.45	9.39	801.7393	820.3337	743.9552	81.7852	8.1673	44.1738	37.789	54.979	34.475	0.0938	0.0806	0.058	1.2836	1.1579	1.2006	445.0	417.0	442.0
HG00694	HG00692	HG00693	CHS	620.67	291.03	554.76	612.64	286.277	557.602	698.39	337.74	626.36	219.47	156.32	217.57	20.7964	15.2752	22.3395	14.4834	15.2526	1.5006	36.4459	39.9014	43.6971	66.6352	67.8019	53.903	8.8585	8.6157	11.3415	146.8962	146.5721	153.77	2.4314	2.4339	2.9447	0.3455	0.5414	0.3831	0.7772	0.7646	0.7945	0.2354	0.2468	0.2422	0.3763	0.381	0.3084	2.0054	1.9818	1.9872	9.59	9.85	9.56	743.6087	779.5127	634.2959	38.864	47.3731	46.0128	37.303	38.11	38.061	0.0936	0.1066	0.0994	1.2031	1.2321	1.2573	446.0	440.0	430.0
HG00700	HG00698	HG00699	CHS	419.81	495.2	581.76	411.931	483.459	574.397	474.75	572.71	666.73	196.7	174.39	156.51	15.2814	17.7128	15.6871	1.3229	14.3366	1.2429	40.7738	36.1231	48.7894	47.7912	70.5401	49.779	10.9693	8.7572	10.3036	150.3723	145.9589	153.819	2.4088	2.3842	2.4695	0.5739	0.6979	0.6532	0.8617	0.8641	0.8314	0.2414	0.229	0.2302	0.395	0.5179	0.5232	1.998	2.0048	2.009	9.61	9.66	9.68	731.8249	646.8042	599.7421	65.3677	36.718	34.5494	37.308	42.97	39.568	0.0986	0.0837	0.0866	1.2081	1.2325	1.2428	437.0	416.0	410.0
HG00702	HG00656	HG00657	CHS	630.52	447.08	464.3	630.582	450.546	464.219	712.35	516.06	528.43	160.93	110.19	151.35	20.0385	19.1915	18.0438	1.4705	14.4653	1.5944	45.9275	51.5856	36.3034	52.1182	74.6181	55.2381	10.9868	8.6266	11.297	148.904	143.4277	145.046	3.0431	2.483	3.4604	0.6002	0.6119	0.6211	0.8645	0.7773	0.8888	0.2616	0.2284	0.232	0.547	0.4043	0.579	2.0033	1.9984	2.0008	9.6	8.62	9.6	784.2666	622.7321	848.5812	11.3263	19.084	44.8046	35.728	37.202	34.53	0.0886	0.0818	0.0709	1.2396	1.2726	1.2335	445.0	430.0	408.0
HG00703	HG00701	HG00702	CHS	516.47	371.58	630.52	509.947	365.644	630.582	606.25	417.19	712.35	176.14	176.52	160.93	19.4593	12.8373	20.0385	20.3696	19.2509	1.4705	65.4982	50.374	45.9275	77.2559	83.7865	52.1182	10.2704	9.316	10.9868	150.5225	161.6918	148.904	2.9769	3.8068	3.0431	0.4971	0.7322	0.6002	0.8101	0.8191	0.8645	0.2602	0.2648	0.2616	0.1904	0.2487	0.547	1.9987	1.9986	2.0033	9.69	9.56	9.6	726.1898	678.8567	784.2666	23.3597	9.2903	11.3263	38.83	43.01	35.728	0.071	0.0888	0.0886	1.3074	1.1935	1.2396	445.0	423.0	445.0
HG00706	HG00704	HG00705	CHS	587.48	520.38	425.07	580.007	515.315	415.588	698.24	611.57	492.23	180.04	175.96	170.19	12.8705	14.3684	17.3576	14.6536	14.1118	1.5553	42.9365	49.6189	43.6484	66.4773	68.5905	56.6358	10.9016	9.5811	10.5653	145.2536	143.3685	147.2893	2.8627	2.8368	3.314	0.6677	0.6247	0.623	0.814	0.7841	0.8245	0.2558	0.257	0.2417	0.2543	0.4524	0.3021	2.0066	1.9962	1.9865	9.77	9.63	9.85	756.4734	707.2467	731.6706	33.8472	23.8643	9.5714	38.272	33.383	34.356	0.0701	0.0792	0.0935	1.3143	1.2688	1.209	449.0	408.0	426.0
HG00709	HG00707	HG00708	CHS	493.93	531.57	449.76	476.344	522.647	439.477	597.77	631.54	521.49	162.89	146.24	116.89	13.9809	18.2598	16.842	17.2381	18.4852	1.4916	46.3581	44.7513	46.2916	76.1207	79.5533	51.1531	9.8093	9.9502	11.5952	143.9639	154.5563	149.7203	2.8314	2.6311	3.2879	0.6936	0.5787	0.7076	0.8584	0.8747	0.9144	0.2537	0.2616	0.2564	0.4195	0.4372	0.2265	1.9916	2.0006	1.991	9.67	9.93	9.75	728.3157	993.118	755.4973	59.2276	100.5304	43.2252	38.961	36.221	36.501	0.0689	0.0726	0.0887	1.342	1.2663	1.2762	438.0	428.0	429.0
HG00733	HG00731	HG00732	PUR	578.22	332.0	717.71	564.982	323.559	711.826	701.02	392.96	810.83	191.64	160.81	187.19	19.0748	23.3216	18.7489	2.7603	12.8539	1.7191	48.487	55.9338	43.2923	59.7893	70.9369	66.0936	11.0647	12.0783	13.3896	148.7904	147.0414	148.2305	3.0782	3.2713	3.0705	0.8211	0.847	0.5998	0.8146	0.8017	0.7973	0.2492	0.2437	0.2322	0.7283	0.7961	0.3578	1.9997	1.9973	1.9977	9.69	9.72	9.63	1067.5884	769.8586	839.7919	37.0124	54.8843	62.1561	36.773	35.717	35.928	0.0746	0.1176	0.0862	1.3193	1.2725	1.223	440.0	415.0	438.0
HG00735	HG01047	HG00734	PUR	346.18	300.38	402.98	343.642	300.041	404.468	383.29	335.94	434.22	132.22	124.26	146.58	23.6159	19.5937	22.1495	1.6815	10.8983	1.7805	41.2188	41.437	51.5917	52.7903	71.8428	55.0143	10.3994	11.1875	9.2371	147.0414	138.0068	138.9787	2.0892	2.2866	2.7547	0.4332	0.7505	0.4829	0.8637	0.9047	0.7949	0.237	0.2373	0.2332	0.4563	0.3162	0.3762	1.9934	1.9974	1.9915	9.38	8.58	9.58	602.3806	595.6801	704.4196	26.3343	24.9465	54.6714	36.0	37.104	37.694	0.0686	0.1101	0.1015	1.2188	1.2072	1.1664	445.0	434.0	436.0
HG00738	HG00736	HG00737	PUR	405.88	306.58	422.7	407.317	310.292	417.141	475.05	334.43	484.8	163.55	115.11	184.2	23.9705	21.1082	17.9101	10.6966	10.0484	1.4193	41.58	41.0354	49.0019	64.1067	68.1605	59.2469	8.6626	10.0738	9.8699	126.384	131.6532	146.8336	2.5618	2.8509	3.8821	0.8087	0.8865	0.5133	0.7957	0.7652	0.8631	0.2411	0.2296	0.2662	0.6102	0.4042	0.5554	1.9973	1.9903	1.9982	9.71	9.49	9.46	696.071	762.4577	629.5016	37.3842	29.6162	11.9381	38.717	35.96	37.441	0.0823	0.0619	0.0989	1.2511	1.1578	1.2392	447.0	440.0	438.0
HG00741	HG00739	HG00740	PUR	484.91	481.36	454.73	476.556	477.517	446.088	545.63	530.22	520.33	251.22	327.64	150.78	14.781	14.5	18.0465	1.0107	7.8591	1.2599	52.8514	44.7111	51.2447	67.5505	65.0185	70.2232	10.1468	9.4619	10.7254	148.8666	140.4898	144.2764	2.6301	3.2506	1.756	0.8181	0.8405	0.6318	0.8738	0.8257	0.7912	0.2415	0.2309	0.2362	0.876	0.4455	0.6284	2.0001	1.9976	1.9957	9.68	9.5	8.6	753.9107	835.7129	686.1159	60.541	18.1216	73.676	38.197	37.321	36.546	0.0992	0.0603	0.0951	1.2135	1.1689	1.2232	444.0	435.0	425.0
HG01050	HG01048	HG01049	PUR	536.03	685.66	380.03	528.758	678.706	375.218	617.13	785.93	445.52	120.72	116.86	232.16	18.7316	13.9403	25.1485	1.021	11.1	1.5189	52.929	41.6867	56.6488	57.7463	80.9011	58.4982	10.5065	11.0139	9.3865	148.9575	136.6645	145.0954	2.8554	2.9817	2.2848	0.5076	0.5611	0.5289	0.79	0.9236	0.7963	0.2397	0.2538	0.2334	0.3883	0.3821	0.4056	1.9977	2.0015	2.0028	9.6	10.26	9.53	482.2432	633.9155	595.9562	45.7526	38.8914	24.2397	34.511	48.179	44.17	0.0665	0.1037	0.0908	1.2286	1.2251	1.2627	433.0	425.0	424.0
HG01053	HG01051	HG01052	PUR	489.31	505.83	544.44	475.399	492.613	534.981	531.49	575.28	613.91	190.71	179.87	235.82	16.8173	14.247	18.1435	1.4146	9.6503	1.1044	51.7891	48.6105	47.6424	61.4045	64.0928	56.8463	9.6842	11.063	10.7571	142.9854	148.1147	150.6019	2.828	2.5527	3.2164	0.594	0.6978	0.6325	0.8592	0.8873	0.8899	0.2435	0.2253	0.2513	0.3553	0.5623	0.6075	2.0158	1.9986	1.9924	9.63	9.66	10.24	716.1329	865.1718	988.2368	31.4594	46.4225	42.6631	37.514	33.945	38.478	0.0975	0.0864	0.1198	1.1692	1.2346	1.1986	445.0	432.0	426.0
HG01056	HG01054	HG01055	PUR	420.64	401.77	302.14	412.542	391.798	299.287	493.41	469.1	357.25	243.7	159.35	284.76	26.3994	23.1116	21.5695	12.5447	13.2622	1.8421	49.8422	42.4121	50.5663	74.2254	78.0653	53.5283	9.859	9.8545	10.1142	142.0088	154.8866	143.732	3.2834	3.7644	2.8208	0.5367	0.5646	0.5547	0.8584	0.8074	0.8749	0.2546	0.2398	0.248	0.592	0.6526	0.4831	2.0084	1.987	1.9993	9.08	9.11	9.58	589.478	1131.5052	615.2457	97.6341	351.237	64.6818	39.269	33.563	36.875	0.088	0.0773	0.0917	1.2528	1.2953	1.2806	446.0	432.0	431.0
HG01062	HG01060	HG01061	PUR	531.2	391.51	460.83	524.049	386.69	458.747	601.22	407.93	503.06	151.9	149.64	190.63	17.7044	21.4613	20.7722	1.0709	11.1443	1.1749	48.6894	55.1799	50.4302	51.7439	61.9261	64.7392	11.686	11.6534	10.9904	145.7019	151.8955	155.089	2.9994	3.4165	3.1639	0.4993	0.5514	0.5498	0.8214	0.8947	0.9094	0.2367	0.2336	0.2356	0.8353	0.4127	0.5717	1.9913	2.002	1.992	9.63	10.17	9.87	601.5299	1177.5076	508.4205	77.6052	32.5161	46.7833	35.969	38.728	36.958	0.0987	0.0822	0.087	1.2294	1.1283	1.2002	446.0	435.0	434.0
HG01068	HG01066	HG01067	PUR	458.56	459.16	453.64	455.593	453.958	447.124	542.36	516.95	524.86	161.56	100.44	180.42	20.0496	20.1885	19.3591	1.7333	8.3809	1.4056	64.8878	50.379	55.7329	50.9638	60.1933	56.3536	10.806	11.2418	11.4435	143.7687	147.7794	143.396	2.3052	3.1612	2.3407	0.6945	0.7594	0.4174	0.8127	0.7895	0.8556	0.2432	0.2385	0.2429	0.5098	0.439	0.372	1.9854	1.9913	1.9976	9.79	9.7	9.58	624.8507	921.1767	566.1337	106.798	89.3261	46.1858	38.098	38.792	36.874	0.0713	0.1248	0.0932	1.3263	1.1658	1.2298	443.0	422.0	435.0
HG01071	HG01069	HG01070	PUR	620.67	643.47	514.12	606.663	629.616	514.679	697.76	767.24	586.65	134.89	87.08	116.44	22.1662	24.3988	16.9258	2.6882	9.2275	1.8593	47.0594	48.5679	37.1627	54.6913	68.9574	51.9286	9.4739	10.7244	10.351	136.5729	144.3778	139.0884	3.5109	3.6844	3.3639	0.6254	0.6283	0.7482	0.8438	0.8124	0.8181	0.2215	0.2341	0.2369	0.3512	0.4669	0.2873	1.9896	1.9958	1.9995	9.56	9.67	9.63	679.9685	749.9255	660.3438	72.6496	88.7425	70.8058	38.248	56.277	35.386	0.0987	0.0936	0.1017	1.2196	1.2698	1.2224	444.0	419.0	421.0
HG01074	HG01072	HG01073	PUR	489.9	531.2	636.99	477.969	524.256	629.825	556.3	620.38	707.9	155.77	191.94	135.13	16.0334	17.9909	15.4983	11.1025	11.2501	1.3485	48.4417	45.1315	37.3113	65.1646	57.3842	60.6551	10.6929	8.8669	10.1912	136.5301	133.7153	139.5685	2.4654	2.9874	2.6914	0.5762	0.8152	0.4996	0.8494	0.8282	0.8105	0.245	0.2503	0.2289	0.6035	0.4121	0.5308	1.9871	2.009	1.9925	9.69	9.67	9.59	669.7164	796.8547	636.7796	42.0138	42.5	146.3356	37.516	33.026	39.54	0.0823	0.0857	0.0983	1.2506	1.2505	1.2012	448.0	429.0	439.0
HG01081	HG01079	HG01080	PUR	639.84	604.49	582.39	639.103	599.08	575.641	767.78	703.32	665.42	131.12	147.07	138.09	24.5403	26.7512	19.2014	1.7294	11.0444	0.8984	64.7672	63.2131	55.0318	54.3887	64.9818	56.7132	11.9131	10.6663	11.4488	137.7662	138.9871	140.9174	3.1746	2.7161	3.1846	0.5423	0.7024	0.8413	0.8187	0.8503	0.8495	0.2515	0.2555	0.2432	0.2704	0.499	0.4502	2.0	1.9923	1.9992	9.65	9.73	9.58	619.1118	766.8644	725.5457	10.6085	20.7042	20.4858	37.846	36.485	38.277	0.0723	0.0941	0.0815	1.3227	1.285	1.2341	445.0	442.0	432.0
HG01084	HG01082	HG01083	PUR	388.94	373.06	348.93	383.635	374.956	338.353	447.89	436.35	426.84	140.38	154.84	185.07	11.5723	11.8313	16.9901	2.515	10.7318	2.1367	66.0364	68.8432	53.565	50.7879	74.3129	49.1485	10.274	8.6347	13.2872	131.8684	137.3573	138.6117	2.3979	2.2399	2.8251	0.5145	0.4813	0.4576	0.8277	0.919	0.8048	0.2272	0.2357	0.2241	0.3411	0.4093	0.5946	1.9949	1.9938	1.9943	9.57	9.72	8.83	654.0775	696.8141	818.4713	83.4154	38.4593	34.9094	38.613	38.735	43.127	0.0828	0.1204	0.0767	1.243	1.2259	1.3009	452.0	415.0	429.0
HG01087	HG01085	HG01086	PUR	347.87	282.32	430.51	343.036	279.801	426.393	391.15	288.85	489.89	195.9	215.59	150.2	14.6863	17.0994	17.7743	1.6264	10.8115	1.4587	52.9547	45.5254	46.3075	59.353	63.9491	68.7208	11.5011	9.3862	11.4345	137.7284	127.451	134.8605	2.7526	2.7847	2.5909	0.6056	0.7412	0.4891	0.8837	0.81	0.8282	0.2438	0.2333	0.2438	0.6203	0.3494	0.499	2.0059	2.0078	2.0001	9.56	8.64	9.5	857.5007	723.073	689.6251	20.0247	108.1086	66.2097	35.613	35.861	37.242	0.0748	0.0781	0.0984	1.19	1.0939	1.2254	439.0	435.0	434.0
HG01096	HG01094	HG01095	PUR	557.6	547.26	407.3	555.288	543.176	405.627	645.77	640.59	467.2	235.15	195.97	208.43	16.4899	18.5223	21.9221	9.9862	9.5649	1.4466	49.027	52.2523	37.5763	80.8497	76.7891	68.8354	9.203	9.6194	9.6653	130.4844	133.9366	135.6755	3.0151	3.5459	2.0947	0.6401	0.7046	0.5327	0.7247	0.8338	0.6862	0.2812	0.2816	0.2356	0.5184	0.1989	0.6314	2.0086	1.9921	2.0044	9.83	9.64	9.6	925.0447	746.955	884.4376	137.644	88.6295	163.318	38.672	37.166	35.271	0.0843	0.0932	0.1044	1.2553	1.2656	1.2443	436.0	431.0	423.0
HG01099	HG01097	HG01098	PUR	378.81	362.4	397.16	371.688	360.206	392.391	457.88	419.85	465.55	167.69	144.26	186.72	19.2597	15.2647	15.9822	10.0539	9.2813	2.9002	38.8027	38.9808	43.9349	67.1075	72.2203	52.7542	13.2757	11.5577	12.807	137.1957	141.1419	146.3546	3.0446	2.8027	3.036	0.5884	0.4551	0.6765	0.866	0.739	0.9231	0.2571	0.2434	0.2435	0.6743	0.348	0.8641	1.9945	2.0025	1.9966	9.78	9.51	9.66	574.8908	603.1081	743.2161	101.8379	20.0714	165.3456	41.328	36.394	37.341	0.0771	0.1032	0.0829	1.31	1.228	1.2218	443.0	438.0	417.0
HG01100	HG01247	HG01248	PUR	372.55	469.84	398.58	370.756	463.995	389.83	441.96	549.57	453.98	117.37	143.23	143.29	23.9064	23.3023	21.9936	1.8727	11.9208	1.9698	56.3438	73.2126	40.0556	65.2695	78.4898	67.8141	10.1591	9.7837	11.4425	142.4345	133.2864	167.0956	2.5339	2.682	3.0362	0.5397	0.6158	0.6759	0.7883	0.8465	0.8314	0.2474	0.2565	0.2241	0.4948	0.555	0.4308	1.9873	1.9908	1.9841	10.02	9.46	10.45	555.2026	609.7302	543.5058	48.659	117.0948	31.1243	38.477	36.782	48.965	0.0684	0.0823	0.0999	1.2836	1.2811	1.2251	458.0	437.0	428.0
HG01103	HG01101	HG01102	PUR	413.68	309.87	464.16	405.194	302.597	458.846	473.54	382.9	540.02	160.17	182.53	188.27	14.8998	16.0603	19.3675	1.2926	10.8564	1.047	51.1262	35.4137	55.7704	63.4827	76.2261	59.4581	12.0515	11.3761	9.3888	145.5018	151.4398	160.3353	3.4547	2.5089	3.8193	0.7122	0.7688	0.6218	0.8736	0.9351	0.8207	0.2565	0.2515	0.2486	0.5473	0.752	0.4128	1.9726	1.9997	2.0059	9.58	9.69	9.83	530.6754	1029.886	759.8843	47.2606	276.1831	64.0308	36.506	39.145	40.396	0.0904	0.0715	0.0886	1.256	1.3463	1.2671	451.0	426.0	413.0
HG01106	HG01104	HG01105	PUR	564.28	435.63	588.72	556.944	431.639	580.024	667.97	499.49	709.33	218.92	216.27	219.81	15.2207	18.5773	20.5651	16.6526	16.216	3.0388	40.8887	42.0223	42.001	75.4006	81.3245	58.2233	9.3394	9.4409	10.1396	129.88	141.5099	146.3026	3.0313	3.3651	2.7139	0.5427	0.6059	0.549	0.8398	0.8926	0.8532	0.2342	0.239	0.2492	0.433	0.376	0.4878	2.0027	1.9916	1.9949	9.74	9.83	9.74	702.8327	635.8062	793.5666	37.417	17.1547	54.7175	38.411	34.492	46.21	0.0778	0.0798	0.0727	1.2861	1.2446	1.3013	446.0	419.0	432.0
HG01109	HG01107	HG01108	PUR	508.91	375.54	494.07	497.706	369.98	487.879	575.02	444.73	542.04	234.14	135.4	257.13	22.9266	16.6194	20.4451	11.3223	11.9079	1.5208	37.3468	47.4872	39.9801	63.9573	59.1957	54.0949	10.5327	10.8696	10.3671	131.6652	132.4568	142.2779	2.5789	3.3076	2.6448	0.8396	0.5762	0.8051	0.9126	0.8556	0.954	0.2394	0.2416	0.2376	0.3908	0.5069	0.317	1.9953	1.9993	2.0052	9.47	10.52	9.49	533.2498	705.508	472.0904	36.6723	37.4041	63.9994	38.86	40.372	36.677	0.1046	0.1267	0.0732	1.1897	1.2658	1.1458	445.0	402.0	429.0
HG01114	HG01112	HG01113	CLM	438.6	397.89	471.63	430.653	393.551	469.563	502.46	458.74	564.66	154.47	137.37	88.81	22.0785	19.4489	15.5258	1.4675	10.9415	1.8999	58.8045	45.8107	53.3147	51.1856	71.1027	42.2854	9.3594	9.085	8.8092	146.276	121.2992	125.8632	3.4985	2.776	2.9697	0.6689	0.5738	0.483	0.8456	0.8656	0.9291	0.2491	0.2398	0.2326	0.8336	0.3538	0.5504	2.01	1.994	1.9917	9.67	9.8	10.7	660.2513	827.0728	1118.7644	36.6057	34.1716	35.479	36.386	37.336	37.4	0.0876	0.0863	0.0984	1.2256	1.2681	1.317	450.0	427.0	436.0
HG01126	HG01124	HG01125	CLM	476.31	333.78	473.56	471.718	332.071	465.875	545.73	364.37	545.34	132.85	157.09	112.06	19.9272	18.1271	15.2344	9.679	9.1028	1.4296	55.4096	45.3266	52.2686	73.3369	69.4991	65.2278	8.8914	9.5876	10.4871	143.8605	136.6273	142.8391	2.483	2.8537	2.391	0.7573	0.696	0.6165	0.8028	0.8236	0.8824	0.2477	0.2531	0.2478	1.0301	0.7244	0.5288	1.9942	2.0027	1.9999	10.22	9.46	9.87	710.3189	738.8053	731.5888	94.492	15.3493	11.6481	37.075	37.668	37.13	0.0916	0.1024	0.0867	1.2232	1.2001	1.2128	444.0	439.0	419.0
HG01135	HG01133	HG01134	CLM	475.73	414.67	409.43	466.111	411.457	404.282	530.48	484.74	446.61	134.21	184.28	175.18	15.9097	14.7281	23.3702	7.7982	8.19	2.0935	51.0306	56.0065	52.53	57.5193	61.1107	48.671	11.673	10.9834	10.1749	141.4673	146.595	150.1401	2.7688	3.0686	2.7491	0.4165	0.5467	0.6143	0.7657	0.8139	0.7873	0.2366	0.243	0.2302	0.4262	0.3665	0.4415	1.9863	1.9953	1.9932	9.45	9.73	9.61	852.8727	751.6832	667.7418	113.8558	76.7565	49.5759	38.276	38.261	41.452	0.1	0.0726	0.1215	1.2002	1.2597	1.1949	446.0	441.0	428.0
HG01138	HG01136	HG01137	CLM	468.57	442.84	470.5	461.166	438.691	468.46	542.94	502.91	536.03	191.47	216.64	179.64	14.8603	17.3893	13.5284	10.9662	10.7072	1.5165	55.5886	55.9833	46.8707	71.4944	68.4823	57.9662	11.6389	10.1476	11.3664	146.5069	149.0353	143.1237	2.4471	2.5994	2.7238	0.6481	0.7009	0.8244	0.8807	0.9101	0.8755	0.2619	0.2338	0.2499	0.5596	0.6809	0.5726	1.9975	1.9949	2.0226	9.69	10.54	9.51	771.9595	694.0083	895.0512	58.9776	112.2003	66.7437	36.742	39.513	37.554	0.0851	0.0876	0.1195	1.2557	1.2527	1.2022	446.0	432.0	417.0
HG01141	HG01139	HG01140	CLM	470.52	408.45	436.95	467.602	405.302	437.616	495.8	457.36	474.28	200.02	163.6	204.97	15.751	17.8733	17.4129	1.5647	9.2013	1.9515	32.2723	40.1205	49.9092	45.2237	63.0101	46.6474	9.4019	9.0497	10.125	131.4401	131.1849	150.41	2.4613	2.5234	2.6837	0.5751	0.5658	0.7079	0.7565	0.7981	0.8335	0.2201	0.2292	0.2205	0.4273	0.4557	0.3178	1.9994	2.0049	2.0022	9.55	9.66	9.6	622.597	684.4338	591.3132	24.4968	26.0084	29.3578	36.034	38.512	40.684	0.0708	0.1041	0.1111	1.157	1.22	1.1748	441.0	437.0	440.0
HG01150	HG01148	HG01149	CLM	424.21	494.62	361.54	422.346	492.341	352.308	487.37	545.76	416.03	207.59	248.76	149.13	18.8147	17.7661	21.7158	1.6356	9.8593	1.5765	53.0268	52.8638	44.0859	50.4461	54.8759	56.4718	13.2109	11.6026	11.2231	143.2343	136.3956	148.601	2.552	2.7726	3.0094	0.5748	0.6847	0.6178	0.773	0.8007	0.8314	0.2593	0.2501	0.2472	0.6462	0.2868	0.4613	1.9788	2.0034	1.9839	9.56	9.77	9.68	931.6337	765.713	821.8747	80.3546	66.3693	62.0636	38.783	36.295	64.151	0.0791	0.1037	0.0824	1.2615	1.2443	1.2471	455.0	437.0	434.0
HG01169	HG01167	HG01168	PUR	442.85	406.94	411.04	444.904	398.738	410.533	493.29	468.75	457.45	239.64	268.85	278.66	17.5919	16.635	15.0308	1.9114	14.8096	2.4495	47.005	49.2522	39.8469	68.7894	91.8613	54.1822	10.1355	9.7924	14.7842	142.7736	143.4789	137.312	2.3668	2.7674	2.8044	0.5389	0.5423	0.5228	0.849	0.8787	0.8655	0.2504	0.2634	0.239	0.4274	0.2286	0.4562	1.9959	1.998	2.0025	9.72	9.72	9.61	603.4444	683.5694	532.6982	18.1691	92.6319	17.0156	34.533	51.848	35.746	0.0724	0.0767	0.0918	1.2036	1.2543	1.2674	443.0	420.0	437.0
HG01172	HG01170	HG01171	PUR	746.22	583.35	532.98	735.87	572.654	528.798	856.93	680.32	586.65	121.83	170.9	134.02	17.5041	21.6841	16.5432	9.4332	10.0439	1.7917	36.0367	57.4451	38.2268	69.9187	71.7016	55.4576	12.6989	11.7846	10.463	125.919	137.7459	129.5419	3.574	3.0006	3.3251	0.5941	0.6464	0.5903	0.9802	0.8305	0.898	0.2573	0.2456	0.2527	0.4157	0.3882	0.4799	2.0145	1.9871	1.9994	10.83	9.73	10.71	656.8627	447.1621	684.2393	69.2429	31.9917	59.7882	36.57	33.701	38.553	0.0843	0.0839	0.0948	1.2412	1.2796	1.2093	442.0	432.0	434.0
HG01175	HG01173	HG01174	PUR	363.76	364.93	267.05	353.542	364.073	265.667	413.71	415.97	308.32	162.38	132.47	232.12	17.3488	12.8467	19.2983	1.6177	10.831	1.9975	53.7022	45.1885	53.584	53.9826	73.6347	58.8593	11.8527	9.1675	12.9036	148.4175	135.8483	149.965	2.8711	2.5862	2.4877	0.7207	0.7151	0.5903	0.8896	0.783	0.8389	0.2305	0.2188	0.2429	0.6505	0.6509	0.2972	1.9935	1.9887	1.9882	9.78	8.62	9.77	633.8991	655.3014	878.7842	46.6312	25.6324	53.1324	35.815	35.902	37.002	0.094	0.1012	0.1024	1.1969	1.2312	1.2739	448.0	424.0	439.0
HG01178	HG01176	HG01177	PUR	495.63	599.37	431.75	492.922	596.18	429.959	559.49	641.92	476.16	227.16	214.15	160.24	13.0753	11.809	20.4199	11.3252	11.2886	0.9011	54.4576	48.1469	50.2391	61.8375	62.9443	48.8692	13.2115	11.9639	11.6274	124.3484	141.2447	139.1944	2.823	2.4601	2.6849	0.8486	0.6957	0.7244	0.7868	0.7949	0.812	0.2377	0.2326	0.2239	0.8096	0.5049	0.6883	1.9882	2.0051	2.0055	9.62	9.6	9.58	922.8942	672.3393	622.1509	84.4507	49.5178	115.3425	38.034	49.721	40.395	0.0921	0.0809	0.0755	1.2173	1.1764	1.2229	449.0	437.0	438.0
HG01184	HG01182	HG01183	PUR	560.3	493.43	524.17	553.203	491.461	511.007	660.23	529.16	624.42	189.14	155.88	187.11	17.0925	15.8054	21.5388	2.0267	11.8231	1.4941	48.4425	46.6257	53.9403	61.5496	83.3827	51.8714	10.5007	10.9153	8.8907	141.736	135.7437	153.2269	2.8447	3.6202	2.7244	0.5742	0.4764	0.7665	0.7707	0.8803	0.7737	0.2403	0.2477	0.2304	0.418	0.5202	0.4194	1.993	1.9969	1.9973	9.74	9.52	9.47	761.6969	689.5258	856.6775	41.7633	19.2589	45.1354	38.398	38.392	41.769	0.0745	0.1069	0.0692	1.2961	1.1463	1.3048	456.0	435.0	432.0
