SAMPLE	AUTO_HQ_median	N_BINS
HG01085.by1000.	32.8	142070
HG01086.by1000.	32.99	142070
HG01087.by1000.	32.52	142070
HG01088.by1000.	34.55	142070
HG01089.by1000.	43.96	142070
HG01092.by1000.	31.4	142070
HG01094.by1000.	33.12	142070
HG01095.by1000.	31.01	142070
HG01096.by1000.	34.79	142070
HG01097.by1000.	32.24	142070
HG01098.by1000.	33.65	142070
HG01099.by1000.	37.57	142070
HG01100.by1000.	35.23	142070
HG01101.by1000.	35.46	142070
HG01102.by1000.	36.17	142070
HG01103.by1000.	32.67	142070
HG01104.by1000.	31.17	142070
HG01105.by1000.	41.97	142070
HG01106.by1000.	34.85	142070
HG01107.by1000.	34.46	142070
HG01108.by1000.	33.56	142070
HG01109.by1000.	34.4	142070
HG01110.by1000.	38.06	142070
HG01111.by1000.	30.8	142070
HG01112.by1000.	33.59	142070
HG01113.by1000.	33.19	142070
HG01114.by1000.	32.9	142070
HG01119.by1000.	32.88	142070
HG01121.by1000.	31.89	142070
HG01122.by1000.	39.9	142070
HG01124.by1000.	33.48	142070
HG01125.by1000.	33.31	142070
HG01126.by1000.	33.18	142070
HG01130.by1000.	33.27	142070
HG01131.by1000.	33.65	142070
HG01133.by1000.	34.96	142070
HG01134.by1000.	36.04	142070
HG01135.by1000.	34.02	142070
HG01136.by1000.	35.48	142070
HG01137.by1000.	32.68	142070
HG01138.by1000.	33.1	142070
HG01139.by1000.	34.0	142070
HG01140.by1000.	35.85	142070
HG01141.by1000.	33.2	142070
HG01142.by1000.	34.89	142070
HG01148.by1000.	32.09	142070
HG01149.by1000.	57.84	142070
HG01150.by1000.	35.28	142070
HG01161.by1000.	33.38	142070
HG01162.by1000.	31.02	142070
HG01164.by1000.	32.73	142070
HG01167.by1000.	46.96	142070
HG01168.by1000.	32.04	142070
HG01169.by1000.	31.65	142070
HG01170.by1000.	30.39	142070
HG01171.by1000.	34.37	142070
HG01172.by1000.	33.05	142070
HG01173.by1000.	31.77	142070
HG01174.by1000.	32.62	142070
HG01175.by1000.	32.04	142070
HG01176.by1000.	45.25	142070
HG01177.by1000.	36.91	142070
HG01178.by1000.	34.01	142070
HG01182.by1000.	33.99	142070
HG01183.by1000.	38.05	142070
HG01184.by1000.	34.9	142070
HG01187.by1000.	33.95	142070
HG01188.by1000.	32.2	142070
HG01189.by1000.	33.45	142070
HG01190.by1000.	33.59	142070
HG01191.by1000.	34.88	142070
HG01192.by1000.	32.62	142070
HG01197.by1000.	32.88	142070
HG01198.by1000.	33.08	142070
HG01199.by1000.	35.09	142070
HG01200.by1000.	33.29	142070
HG01204.by1000.	31.13	142070
HG01205.by1000.	37.78	142070
HG01206.by1000.	33.07	142070
HG01241.by1000.	34.84	142070
HG01242.by1000.	32.9	142070
HG01243.by1000.	33.39	142070
HG01247.by1000.	33.16	142070
HG01248.by1000.	43.47	142070
HG01249.by1000.	32.04	142070
HG01250.by1000.	37.78	142070
HG01251.by1000.	31.85	142070
HG01252.by1000.	35.62	142070
HG01253.by1000.	34.05	142070
HG01254.by1000.	39.25	142070
HG01255.by1000.	35.75	142070
HG01256.by1000.	36.66	142070
HG01257.by1000.	32.81	142070
HG01258.by1000.	35.19	142070
HG01259.by1000.	34.48	142070
HG01260.by1000.	37.39	142070
HG01261.by1000.	35.09	142070
HG01269.by1000.	33.72	142070
HG01271.by1000.	35.05	142070
HG01272.by1000.	32.8	142070
HG01273.by1000.	34.74	142070
HG01274.by1000.	33.6	142070
HG01275.by1000.	32.65	142070
HG01276.by1000.	31.64	142070
HG01277.by1000.	32.01	142070
HG01278.by1000.	34.09	142070
HG01279.by1000.	31.81	142070
HG01280.by1000.	33.95	142070
HG01281.by1000.	34.17	142070
HG01284.by1000.	32.59	142070
HG01286.by1000.	35.14	142070
HG01302.by1000.	33.78	142070
HG01303.by1000.	31.99	142070
HG01305.by1000.	33.28	142070
HG01308.by1000.	33.97	142070
HG01311.by1000.	34.29	142070
HG01312.by1000.	33.05	142070
HG01323.by1000.	34.26	142070
HG01325.by1000.	33.66	142070
HG01326.by1000.	33.63	142070
HG01334.by1000.	33.21	142070
HG01341.by1000.	33.59	142070
HG01342.by1000.	31.17	142070
HG01343.by1000.	34.19	142070
HG01344.by1000.	34.95	142070
HG01345.by1000.	32.67	142070
HG01346.by1000.	34.32	142070
HG01347.by1000.	33.13	142070
HG01348.by1000.	35.16	142070
HG01349.by1000.	33.63	142070
HG01350.by1000.	32.81	142070
HG01351.by1000.	32.75	142070
HG01352.by1000.	33.65	142070
HG01353.by1000.	46.71	142070
HG01354.by1000.	36.18	142070
HG01355.by1000.	34.69	142070
HG01356.by1000.	34.68	142070
HG01357.by1000.	32.06	142070
HG01358.by1000.	35.38	142070
HG01359.by1000.	32.44	142070
HG01360.by1000.	32.62	142070
HG01361.by1000.	35.7	142070
HG01362.by1000.	31.92	142070
HG01363.by1000.	31.77	142070
HG01365.by1000.	35.1	142070
HG01366.by1000.	32.23	142070
HG01367.by1000.	32.57	142070
HG01369.by1000.	37.34	142070
HG01372.by1000.	33.85	142070
HG01374.by1000.	34.62	142070
HG01375.by1000.	32.29	142070
HG01376.by1000.	33.2	142070
HG01377.by1000.	35.06	142070
HG01378.by1000.	44.94	142070
HG01379.by1000.	34.98	142070
HG01383.by1000.	35.05	142070
HG01384.by1000.	33.4	142070
HG01385.by1000.	32.87	142070
HG01389.by1000.	32.01	142070
HG01390.by1000.	34.2	142070
HG01391.by1000.	33.89	142070
HG01392.by1000.	34.35	142070
HG01393.by1000.	30.79	142070
HG01395.by1000.	35.06	142070
HG01396.by1000.	34.05	142070
HG01398.by1000.	33.66	142070
HG01402.by1000.	32.64	142070
HG01403.by1000.	32.58	142070
HG01405.by1000.	34.28	142070
HG01412.by1000.	33.2	142070
HG01413.by1000.	33.46	142070
HG01414.by1000.	33.35	142070
HG01431.by1000.	32.77	142070
HG01432.by1000.	29.9	142070
